,Open,High,Low,Close
0,1.2554587,1.2724168,1.250813,1.2506177
1,1.2556258,1.2724947,1.2510039,1.2508016
2,1.2556614,1.2725257,1.2510331,1.2508618
3,1.255541,1.272469,1.2509146,1.2507403
4,1.2555445,1.2724713,1.2509081,1.2507218
5,1.2553064,1.27233,1.2506727,1.2504656
6,1.255138,1.2722243,1.2504678,1.250219
7,1.2555346,1.2724191,1.2509148,1.2506611
8,1.2556585,1.2725253,1.2510388,1.2508664
9,1.2556672,1.2725325,1.2510319,1.2508614
10,1.2558299,1.2726185,1.2512087,1.2510529
11,1.2557236,1.2725518,1.251117,1.2509425
12,1.2556543,1.2725263,1.2510486,1.2508609
13,1.255701,1.2725083,1.251077,1.2508509
14,1.2558572,1.2726305,1.2512681,1.2511073
15,1.2559651,1.2726717,1.2513671,1.2511766
16,1.2563002,1.2728654,1.2517271,1.2515979
17,1.2559276,1.2726355,1.2513655,1.251178
18,1.2552913,1.2723163,1.2506771,1.2504518
19,1.2544628,1.271867,1.2497762,1.2494833
20,1.254175,1.2717602,1.249417,1.2491488
21,1.2541018,1.2717197,1.2493293,1.2490506
22,1.2542924,1.2718108,1.2495344,1.2492669
23,1.2542337,1.2717735,1.249515,1.2492262
24,1.2536725,1.2714825,1.2488877,1.2485787
25,1.2533723,1.2713261,1.248555,1.2482166
26,1.2533429,1.2713336,1.2485149,1.2481967
27,1.2533903,1.2713581,1.2485536,1.2482413
28,1.2534529,1.271388,1.2486215,1.2483175
29,1.2532817,1.2712854,1.2484624,1.2481287
30,1.2532469,1.2712685,1.2483993,1.2480565
31,1.2530988,1.2711666,1.2482581,1.2478945
32,1.2531341,1.2712218,1.2482784,1.2479438
33,1.2532215,1.27127,1.2483768,1.2480538
34,1.2531085,1.2712079,1.2482506,1.247925
35,1.2531251,1.2712017,1.2482681,1.2479193
36,1.252982,1.2711298,1.2481315,1.247784
37,1.2528075,1.2710323,1.2479187,1.247549
38,1.2530814,1.271188,1.248218,1.2478726
39,1.2532306,1.2712766,1.2483759,1.2480621
40,1.2531387,1.27122,1.2482905,1.2479624
41,1.2531432,1.2712275,1.2482897,1.2479559
42,1.2535347,1.2714059,1.2487133,1.2483625
43,1.2542081,1.2717321,1.2494731,1.2491229
44,1.2546062,1.2719867,1.2498859,1.2496428
45,1.2545338,1.2719486,1.2498085,1.2495747
46,1.2545012,1.2719253,1.2497629,1.249516
47,1.2546182,1.2719601,1.2499028,1.2496288
48,1.2546902,1.2719406,1.2499889,1.2496554
49,1.2552655,1.2722824,1.2506418,1.2503613
50,1.2554172,1.2723993,1.2507608,1.2505693
51,1.2551782,1.2722919,1.250506,1.250318
52,1.2552005,1.2723036,1.2505219,1.2503388
53,1.2548634,1.2720896,1.2501956,1.2499493
54,1.254649,1.2719947,1.2499352,1.2496841
55,1.25518,1.2722228,1.2505131,1.250214
56,1.2556193,1.2725055,1.2509904,1.250819
57,1.2556412,1.2725301,1.2510062,1.2508471
58,1.2556865,1.2725549,1.2510601,1.2509041
59,1.2557119,1.2725618,1.2511071,1.2509316
60,1.2557184,1.2725437,1.2510933,1.2509024
61,1.2558403,1.2726158,1.2512571,1.251077
62,1.2555298,1.2724512,1.2508904,1.2507083
63,1.2552629,1.2723095,1.2506187,1.2504137
64,1.2549917,1.2721841,1.2503028,1.2500981
65,1.2549328,1.2721505,1.2502488,1.2500267
66,1.2547244,1.2720408,1.2500308,1.249796
67,1.2552159,1.2722378,1.2505552,1.2502407
68,1.2555662,1.2724736,1.2509525,1.2507714
69,1.255168,1.2722616,1.2505088,1.2502961
70,1.255046,1.2722135,1.250359,1.2501574
71,1.2549076,1.2721364,1.2502172,1.2500024
72,1.254069,1.2715373,1.2493799,1.2489183
73,1.2563969,1.2726568,1.2518907,1.2512965
74,1.2584647,1.2739842,1.2541143,1.2541127
75,1.2583976,1.2739475,1.2540298,1.2540159
76,1.2582681,1.2738795,1.2538744,1.2538757
77,1.257658,1.2735248,1.2532718,1.2531834
78,1.2571797,1.2732828,1.2526877,1.2525759
79,1.2577679,1.2735915,1.2533593,1.2532468
80,1.2578887,1.2736952,1.2534649,1.2534485
81,1.257662,1.2735792,1.2532043,1.2531768
82,1.2578956,1.2736962,1.2534795,1.2534436
83,1.2579492,1.2737309,1.2535237,1.2535133
84,1.2576288,1.2735262,1.2532084,1.2531385
85,1.2572763,1.2733574,1.2528081,1.2527297
86,1.2569896,1.2732146,1.2525066,1.2524137
87,1.2568904,1.2731614,1.2523706,1.2522655
88,1.2570654,1.2732615,1.2525547,1.2524811
89,1.2571309,1.273301,1.2526331,1.2525694
90,1.2568563,1.273138,1.2523721,1.2522593
91,1.2568864,1.2731541,1.2523842,1.25225
92,1.2570485,1.2732326,1.2525445,1.2524419
93,1.2571427,1.2733085,1.2526464,1.2525861
94,1.2570741,1.2732699,1.2525711,1.252502
95,1.2570167,1.2732439,1.2525117,1.2524428
96,1.2568649,1.2731442,1.2523451,1.2522459
97,1.2566291,1.2730191,1.2521145,1.2519932
98,1.2566112,1.2730119,1.2520651,1.2519325
99,1.2579674,1.2736249,1.2535818,1.2533501
100,1.258855,1.2741971,1.2545106,1.2545581
101,1.2589533,1.2742519,1.2546196,1.2546711
102,1.2596499,1.2745478,1.2553847,1.2553647
103,1.2604777,1.274993,1.2562926,1.2563702
104,1.2605761,1.2750549,1.2564023,1.2565215
105,1.2605582,1.2750838,1.2563664,1.2565286
106,1.2606305,1.2751076,1.2564498,1.2565899
107,1.2605829,1.27509,1.2564049,1.256561
108,1.26006,1.2747811,1.2558612,1.2559426
109,1.2599863,1.2747638,1.255748,1.255833
110,1.260012,1.2747798,1.2557966,1.2558913
111,1.2598425,1.2747053,1.2555904,1.2556965
112,1.2597092,1.2746456,1.2554377,1.2555431
113,1.2598883,1.2747324,1.2556317,1.255739
114,1.2598752,1.2747245,1.2556298,1.255744
115,1.2596017,1.2745554,1.255332,1.2554014
116,1.2597135,1.2746444,1.2554599,1.2555513
117,1.2595025,1.2745144,1.2552311,1.2552993
118,1.2593805,1.274471,1.2550914,1.2551732
119,1.2592703,1.2744108,1.2549636,1.2550371
120,1.2594169,1.2744815,1.2551227,1.2551893
121,1.2590512,1.2742453,1.2547736,1.2547741
122,1.2589023,1.2742,1.254566,1.2545815
123,1.2589967,1.2742527,1.2546772,1.2547098
124,1.2589154,1.2742229,1.2545788,1.2546271
125,1.2589018,1.2742231,1.2545625,1.2546151
126,1.2588018,1.274173,1.2544553,1.2545072
127,1.2585616,1.2740313,1.2542038,1.2542202
128,1.2583758,1.2739239,1.2540002,1.253988
129,1.258297,1.2738838,1.2539028,1.253893
130,1.2583317,1.2739238,1.2539402,1.2539558
131,1.2582304,1.2738662,1.2538385,1.2538395
132,1.2581936,1.2738563,1.2537863,1.2537943
133,1.2581121,1.2737894,1.2537048,1.2536843
134,1.2580632,1.2737627,1.2536695,1.2536323
135,1.2581663,1.2738143,1.2537576,1.2537227
136,1.2583301,1.2739229,1.2539381,1.2539554
137,1.2580963,1.2737925,1.2536982,1.2536895
138,1.2580292,1.2737706,1.2536037,1.2535999
139,1.2580665,1.2737849,1.2536473,1.2536446
140,1.2581214,1.2738149,1.2537105,1.2537087
141,1.2581005,1.2738059,1.2536832,1.2536886
142,1.2581042,1.2738125,1.2536888,1.2536969
143,1.2579793,1.2737437,1.2535565,1.2535505
144,1.2579947,1.2737514,1.2535682,1.2535623
145,1.258103,1.2738073,1.2536861,1.2536848
146,1.2582055,1.2738438,1.2538011,1.2537874
147,1.2585274,1.2740185,1.2541724,1.2541656
148,1.2586021,1.2740701,1.2542379,1.2542684
149,1.258599,1.2740709,1.2542288,1.2542686
150,1.2585242,1.2740233,1.2541523,1.254179
151,1.2583841,1.2739382,1.254009,1.2540098
152,1.2585996,1.2740384,1.2542315,1.2542168
153,1.25918,1.2742798,1.2548778,1.2548223
154,1.2599539,1.2747474,1.2557163,1.2557914
155,1.260157,1.2748709,1.2559261,1.256053
156,1.2602055,1.2748963,1.2559786,1.256115
157,1.2604611,1.275015,1.2562687,1.2563825
158,1.2605923,1.2750964,1.2564223,1.2565689
159,1.2606636,1.2751158,1.2565202,1.256626
160,1.2607647,1.2751797,1.2565919,1.2567421
161,1.2608167,1.2752134,1.2566524,1.2568262
162,1.260641,1.2751181,1.2564621,1.256623
163,1.2608948,1.2752213,1.256735,1.2568538
164,1.261495,1.2755393,1.2573941,1.2575581
165,1.261744,1.2756925,1.2576799,1.2578964
166,1.2616342,1.2756449,1.2575448,1.2577734
167,1.261619,1.2756358,1.2575195,1.2577488
168,1.2615458,1.2755902,1.2574458,1.2576671
169,1.2617166,1.2756686,1.2576257,1.2578306
170,1.262002,1.2758119,1.2579694,1.2581755
171,1.2616585,1.2755753,1.2575892,1.2577336
172,1.2618032,1.2757258,1.257726,1.2579596
173,1.2619467,1.2757922,1.2578771,1.2581141
174,1.2618462,1.275744,1.2577901,1.2580234
175,1.2615725,1.275603,1.2574884,1.2577012
176,1.2616314,1.2756078,1.2575359,1.2577165
177,1.2618185,1.2757127,1.2577496,1.2579613
178,1.2618257,1.2757435,1.2577564,1.2579962
179,1.2618289,1.2757396,1.2577443,1.2579808
180,1.2618365,1.2757415,1.2577666,1.2580047
181,1.2614648,1.2755135,1.2573768,1.2575548
182,1.2614014,1.2755017,1.2572895,1.257478
183,1.2615377,1.2755284,1.2574399,1.2575839
184,1.2617506,1.2756962,1.2576756,1.2579069
185,1.2616389,1.2756469,1.2575399,1.2577752
186,1.2615292,1.2755805,1.2574297,1.2576488
187,1.2612332,1.2754145,1.2571199,1.2573054
188,1.2611672,1.2753619,1.2570356,1.2571844
189,1.2618111,1.275687,1.2577477,1.2578974
190,1.2620262,1.2758341,1.2579857,1.2582246
191,1.2619973,1.2758205,1.2579324,1.258168
192,1.2620246,1.2758331,1.2579653,1.2582126
193,1.2619108,1.2757294,1.2579031,1.2580565
194,1.261612,1.2756009,1.2575381,1.2577248
195,1.2614628,1.2755024,1.2573752,1.2575283
196,1.2614994,1.2755604,1.25739,1.2576008
197,1.2614521,1.2755406,1.2573433,1.2575583
198,1.2613754,1.2755075,1.2572578,1.257472
199,1.2614958,1.2755373,1.2573925,1.2575638
200,1.2614751,1.2755346,1.2573892,1.257581
201,1.2617351,1.2756608,1.2576581,1.2578244
202,1.261935,1.2757978,1.2578716,1.2581241
203,1.2620147,1.2758341,1.2579665,1.2582188
204,1.2620379,1.2758455,1.2579863,1.2582188
205,1.2619158,1.2757517,1.2578764,1.2580754
206,1.2619427,1.2757723,1.2578821,1.2580851
207,1.2621828,1.2759023,1.2581637,1.2583799
208,1.2620583,1.2758521,1.2580063,1.2582545
209,1.2620457,1.2758565,1.2579826,1.2582386
210,1.262075,1.2758694,1.2580197,1.258277
211,1.2623814,1.2760074,1.2583777,1.2585948
212,1.26201,1.2758043,1.2579939,1.2582126
213,1.2615193,1.2755408,1.2574359,1.2576054
214,1.2616414,1.2756414,1.2575527,1.2577671
215,1.2616383,1.2756441,1.2575454,1.2577752
216,1.2614897,1.2755661,1.2573872,1.2576106
217,1.2611212,1.2753621,1.2570016,1.2571869
218,1.2606134,1.2750783,1.256449,1.2565792
219,1.2602456,1.2748873,1.2560577,1.2561562
220,1.2599472,1.2747574,1.2557122,1.2558241
221,1.2598094,1.2746933,1.2555599,1.2556663
222,1.2596868,1.2746253,1.2554207,1.2555187
223,1.259608,1.2745548,1.2553332,1.2553941
224,1.2598188,1.2746714,1.255575,1.2556425
225,1.2597399,1.274636,1.2554913,1.2555728
226,1.2597067,1.2746347,1.2554405,1.2555342
227,1.2596207,1.2745905,1.255351,1.2554461
228,1.2596159,1.2745959,1.255333,1.2554345
229,1.2596456,1.2745928,1.2553735,1.2554564
230,1.2598418,1.2746961,1.2556016,1.2556798
231,1.2601255,1.2748395,1.2559081,1.2559941
232,1.2601576,1.2748672,1.2559493,1.2560683
233,1.2602506,1.2749199,1.256035,1.2561724
234,1.2600979,1.2748339,1.2558692,1.2559919
235,1.2601722,1.2748595,1.2559496,1.2560492
236,1.2603861,1.2749888,1.2561834,1.2563194
237,1.2605397,1.2750523,1.2563491,1.2564734
238,1.260575,1.2750858,1.2563947,1.25655
239,1.2604485,1.2750269,1.2562436,1.2563998
240,1.2605833,1.275095,1.2563881,1.2565438
241,1.2607557,1.2751737,1.2565882,1.2567385
242,1.260991,1.275289,1.2568387,1.2569928
243,1.2613896,1.2755036,1.2572747,1.2574601
244,1.2613858,1.2755065,1.2572851,1.2574905
245,1.2612361,1.2754407,1.2571013,1.2573129
246,1.2613088,1.2754774,1.2571874,1.2573943
247,1.2612897,1.2754529,1.25716,1.2573577
248,1.2614274,1.2755327,1.2573264,1.2575288
249,1.2609868,1.2752726,1.2568684,1.2570215
250,1.260424,1.2749931,1.2562459,1.2563779
251,1.2602595,1.2749327,1.2560396,1.256182
252,1.2602096,1.2748989,1.2559903,1.2561255
253,1.2601953,1.2748873,1.2559807,1.2561009
254,1.2609086,1.2751831,1.2567732,1.2568004
255,1.2607559,1.2750895,1.2566746,1.2567315
256,1.2601566,1.2748724,1.2559352,1.2560687
257,1.2601455,1.2748626,1.2559117,1.2560357
258,1.2602493,1.2749246,1.2560352,1.2561736
259,1.260004,1.2747743,1.2557882,1.2558851
260,1.2597014,1.2746232,1.2554528,1.255537
261,1.2593143,1.274416,1.2550502,1.255098
262,1.2590563,1.2743037,1.2547362,1.2547934
263,1.259041,1.2742918,1.2547162,1.2547637
264,1.2592319,1.2743903,1.2549199,1.2549812
265,1.2594303,1.2744789,1.2551396,1.2551972
266,1.2595266,1.2745414,1.2552519,1.2553345
267,1.2596227,1.2745817,1.2553536,1.2554214
268,1.2597483,1.2746593,1.2554872,1.2555876
269,1.2597284,1.2746589,1.2554612,1.2555723
270,1.259725,1.2746537,1.2554624,1.2555691
271,1.2599286,1.2747288,1.255684,1.2557535
272,1.26024,1.2748812,1.2560295,1.2561166
273,1.2604058,1.2749934,1.2562351,1.2563522
274,1.2601756,1.2748723,1.2559507,1.2560734
275,1.260285,1.2749431,1.2560633,1.256206
276,1.260306,1.274953,1.2560978,1.2562407
277,1.2604663,1.2750127,1.256273,1.2563822
278,1.2604988,1.2750269,1.256304,1.256439
279,1.2605772,1.275076,1.2563869,1.2565267
280,1.2605724,1.2750187,1.2564236,1.2564849
281,1.2605599,1.2750838,1.2563775,1.2565356
282,1.2606429,1.2750927,1.2564645,1.2565753
283,1.2610661,1.2753234,1.2569251,1.2570755
284,1.261118,1.2753608,1.2569891,1.2571709
285,1.2608628,1.2752068,1.2567079,1.2568536
286,1.2610554,1.2753359,1.2569112,1.2570851
287,1.2612118,1.2754176,1.2570745,1.2572649
288,1.2615825,1.2755978,1.2574788,1.2576714
289,1.2617279,1.275672,1.2576689,1.2578723
290,1.261931,1.2757667,1.257875,1.2580595
291,1.2624438,1.2760419,1.258434,1.2586672
292,1.2626652,1.2761695,1.2586616,1.2589446
293,1.2630306,1.2763547,1.2590599,1.2593589
294,1.2630926,1.2763996,1.2591338,1.259458
295,1.2630671,1.2763599,1.2591015,1.2593901
296,1.2633015,1.2765018,1.2593648,1.2596848
297,1.2636191,1.276624,1.2597113,1.259988
298,1.2640079,1.2768648,1.2601224,1.2604933
299,1.264087,1.2769094,1.2602098,1.2605925
300,1.2641008,1.2769177,1.2602279,1.2606118
301,1.2646691,1.2771604,1.2608689,1.2611796
302,1.2647413,1.2772267,1.2609644,1.2613598
303,1.2641348,1.2768927,1.2602974,1.2606342
304,1.2637706,1.2767351,1.2599001,1.2602439
305,1.2635726,1.2766483,1.2596439,1.2599988
306,1.2634612,1.2765727,1.2595439,1.2598748
307,1.2633823,1.2765291,1.2594595,1.2597675
308,1.2634884,1.2765803,1.2595884,1.2598858
309,1.2634546,1.276552,1.2595395,1.2598367
310,1.2634354,1.276576,1.2595091,1.2598546
311,1.2633523,1.276541,1.259409,1.2597582
312,1.2633413,1.2765349,1.2593989,1.2597451
313,1.262906,1.2762678,1.2589731,1.2592419
314,1.262477,1.2760638,1.258462,1.2587304
315,1.2621857,1.2758853,1.2581615,1.258384
316,1.2620186,1.2758317,1.2579585,1.258208
317,1.2619243,1.2757925,1.2578559,1.2581089
318,1.2619516,1.2758101,1.2578822,1.2581328
319,1.2621366,1.2758865,1.2580861,1.2583199
320,1.2624792,1.2760385,1.2584989,1.2586997
321,1.2623416,1.2759778,1.258323,1.2585655
322,1.2620811,1.2758448,1.2580473,1.258276
323,1.261755,1.2757008,1.2576795,1.2579138
324,1.2619003,1.2757661,1.2578238,1.2580422
325,1.2619497,1.2757881,1.2579019,1.258131
326,1.2618424,1.2757262,1.2577671,1.2579812
327,1.2618734,1.2757545,1.2578149,1.258043
328,1.2616975,1.2756747,1.2576103,1.2578475
329,1.2616608,1.2756594,1.2575624,1.257801
330,1.2615981,1.2756196,1.2575101,1.2577319
331,1.2616879,1.2756548,1.2575986,1.2578018
332,1.2615962,1.2755954,1.2575135,1.2577164
333,1.2616634,1.2756506,1.2575898,1.2577924
334,1.2615215,1.2755781,1.257419,1.2576404
335,1.2614985,1.2755759,1.2573907,1.2576147
336,1.2615886,1.27562,1.2574918,1.2577119
337,1.2617165,1.2756855,1.2576282,1.2578572
338,1.2619256,1.2757788,1.2578642,1.2580808
339,1.2622892,1.2759612,1.2582612,1.2584876
340,1.2624093,1.2760432,1.258388,1.2586668
341,1.2623634,1.2760259,1.2583257,1.2586124
342,1.2623471,1.2760175,1.2583122,1.2585988
343,1.2621634,1.2759107,1.2581245,1.2583854
344,1.2619442,1.2757732,1.2578828,1.2581019
345,1.2618167,1.2757106,1.2577603,1.2579706
346,1.2616087,1.2756231,1.2575165,1.257741
347,1.2615249,1.2755922,1.2574164,1.2576497
348,1.2614812,1.2755635,1.2573674,1.2575924
349,1.261207,1.2753819,1.2570951,1.2572589
350,1.2607967,1.275177,1.2566595,1.2568015
351,1.2603668,1.2749567,1.2561888,1.2562997
352,1.2603253,1.2749462,1.2561179,1.256233
353,1.2604309,1.2750185,1.2562349,1.2563864
354,1.2604202,1.2750154,1.256213,1.2563653
355,1.260573,1.2750847,1.2563841,1.2565291
356,1.2607309,1.275149,1.2565565,1.2566938
357,1.2608176,1.2752187,1.256653,1.2568322
358,1.2606541,1.2751293,1.2564735,1.25664
359,1.2605872,1.2751008,1.2563937,1.256563
360,1.2605801,1.2750989,1.2563914,1.2565572
361,1.260657,1.2751272,1.2564819,1.2566276
362,1.2605506,1.2750652,1.256371,1.2565154
363,1.2607048,1.2751465,1.256536,1.2566698
364,1.2606415,1.2751203,1.2564676,1.2566307
365,1.260469,1.2750413,1.2562683,1.2564309
366,1.2602347,1.2749052,1.2560338,1.2561612
367,1.259828,1.274687,1.2555894,1.2556858
368,1.2598068,1.2746819,1.2555552,1.2556412
369,1.259899,1.2747245,1.2556521,1.2557462
370,1.2594193,1.2744453,1.2551955,1.2552216
371,1.2589952,1.2742717,1.2546568,1.2547141
372,1.2589898,1.2742629,1.2546607,1.2547159
373,1.2589741,1.2742453,1.2546396,1.2546787
374,1.2586616,1.2740719,1.2543373,1.2543478
375,1.2586346,1.2740631,1.254284,1.2542684
376,1.2587062,1.2741176,1.2543471,1.2543883
377,1.2586654,1.2741048,1.2543029,1.2543479
378,1.2586714,1.2741063,1.2543111,1.2543488
379,1.2588574,1.2741895,1.2545137,1.254539
380,1.258976,1.2742565,1.2546381,1.2546935
381,1.2589484,1.2742345,1.2546294,1.2546647
382,1.2589613,1.2742512,1.2546234,1.2546723
383,1.2589519,1.2742434,1.2546165,1.2546555
384,1.2591486,1.2743526,1.2548332,1.2548952
385,1.2589606,1.2742313,1.2546484,1.254679
386,1.2587507,1.2741444,1.2544053,1.2544472
387,1.2586843,1.274094,1.25432,1.2543411
388,1.2589234,1.2742281,1.2545886,1.2546265
389,1.2589031,1.2742234,1.2545645,1.2546209
390,1.2588288,1.2741811,1.2544773,1.2545251
391,1.2585615,1.2740107,1.2542326,1.2542169
392,1.2581586,1.2738249,1.253772,1.2537597
393,1.2578744,1.273676,1.2534496,1.2534244
394,1.2577096,1.2735957,1.2532655,1.2532369
395,1.2576495,1.2735753,1.2531929,1.2531716
396,1.25776,1.2736249,1.2533181,1.2532833
397,1.2577865,1.2736377,1.2533493,1.2533238
398,1.2577535,1.2736202,1.25331,1.2532823
399,1.2578272,1.2736368,1.2533938,1.2533399
400,1.2579464,1.2737248,1.2535245,1.2535126
401,1.2580448,1.2737644,1.2536298,1.2536018
402,1.2582538,1.2738805,1.253855,1.2538539
403,1.2582861,1.2738919,1.2538958,1.2538943
404,1.2584037,1.273927,1.2540195,1.2539903
405,1.2584611,1.2739711,1.2541151,1.254105
406,1.258406,1.2739589,1.2540162,1.2540224
407,1.2585362,1.2740362,1.2541624,1.2541957
408,1.2584769,1.274003,1.2540967,1.2541262
409,1.2584103,1.2739595,1.2540379,1.2540456
410,1.2581109,1.2737975,1.2537205,1.2537067
411,1.2577276,1.2735902,1.2533014,1.2532532
412,1.257426,1.2734419,1.2529812,1.2529169
413,1.2571207,1.2732925,1.2526257,1.2525609
414,1.2570666,1.2732706,1.252557,1.2524939
415,1.2573315,1.2733841,1.2528505,1.2527597
416,1.25761,1.2735498,1.2531506,1.2531163
417,1.2576033,1.2735445,1.2531494,1.2531154
418,1.2576205,1.2735634,1.2531604,1.2531364
419,1.2577168,1.2736027,1.2532678,1.2532349
420,1.2576782,1.273582,1.2532413,1.2532076
421,1.257528,1.2735026,1.2530601,1.2530203
422,1.2577494,1.2736034,1.2533119,1.2532511
423,1.2577692,1.273608,1.253356,1.2532958
424,1.2575701,1.2735255,1.253115,1.2530768
425,1.2574588,1.2734675,1.2529933,1.2529473
426,1.2573835,1.2734292,1.2529049,1.2528574
427,1.2576551,1.2735443,1.2532074,1.2531252
428,1.2581192,1.2737991,1.2537112,1.2536788
429,1.2581569,1.2738074,1.2537544,1.253732
430,1.2583566,1.2739339,1.2539661,1.2539681
431,1.2584977,1.2740104,1.254118,1.254141
432,1.2586432,1.274076,1.2542821,1.254296
433,1.2587557,1.2741301,1.2544065,1.2544268
434,1.2585486,1.2739992,1.2542007,1.2541877
435,1.2581373,1.2737942,1.2537594,1.2537286
436,1.257887,1.2736965,1.2534574,1.2534466
437,1.2577943,1.2736484,1.2533596,1.2533412
438,1.2578477,1.2736735,1.2534075,1.253385
439,1.2578682,1.2736866,1.2534373,1.2534275
440,1.2589554,1.274113,1.2546449,1.2544565
441,1.2604884,1.2750139,1.2563097,1.2563897
442,1.2610888,1.2753308,1.2569475,1.2570847
443,1.2611638,1.2753931,1.2570438,1.2572298
444,1.2610008,1.2753122,1.2568493,1.257039
445,1.2611088,1.2753571,1.2569661,1.2571396
446,1.2611018,1.2753432,1.2569683,1.2571408
447,1.2612585,1.2753972,1.2571354,1.2572699
448,1.2613997,1.2755079,1.2573137,1.2575066
449,1.2612358,1.2754415,1.2571049,1.2573119
450,1.261236,1.2754343,1.2571063,1.2573075
451,1.2612935,1.2754593,1.2571685,1.2573646
452,1.2613007,1.2754385,1.2571867,1.2573564
453,1.261184,1.2753956,1.2570597,1.2572498
454,1.2611816,1.2754035,1.2570455,1.2572358
455,1.2612659,1.275454,1.2571306,1.2573426
456,1.2614077,1.2755238,1.2572849,1.2574966
457,1.2614467,1.2755398,1.2573342,1.2575502
458,1.261614,1.275614,1.2575145,1.2577133
459,1.2618839,1.2757673,1.2578146,1.258048
460,1.2618902,1.2757771,1.2578214,1.2580695
461,1.2618886,1.2757764,1.2578157,1.2580585
462,1.2619885,1.275825,1.2579273,1.2581725
463,1.2615945,1.2755815,1.257532,1.2577178
464,1.2610111,1.2752993,1.2568911,1.2570617
465,1.2606378,1.2751081,1.2564645,1.2566092
466,1.2606158,1.2751132,1.2564368,1.2565951
467,1.2603803,1.2749785,1.2561872,1.256324
468,1.2602218,1.2749094,1.2560003,1.256141
469,1.2603201,1.2749573,1.256118,1.2562453
470,1.2602835,1.2749196,1.2560706,1.2561884
471,1.260102,1.2748286,1.2558887,1.2560036
472,1.2596643,1.2746005,1.2554138,1.2554991
473,1.259394,1.2744683,1.2550981,1.2551749
474,1.2594048,1.2744697,1.2551086,1.2551786
475,1.2596532,1.2745998,1.2553781,1.2554544
476,1.2596594,1.2746086,1.2554057,1.2554975
477,1.2597748,1.2746325,1.2555302,1.2555606
478,1.2601033,1.2748487,1.2558713,1.2559981
479,1.2601585,1.2748747,1.2559237,1.2560608
480,1.2601486,1.2748718,1.2559221,1.2560599
481,1.2595967,1.2745423,1.2553685,1.2554204
482,1.2591267,1.2743123,1.2548089,1.2548497
483,1.2589393,1.2742003,1.2546283,1.2546372
484,1.2587992,1.274164,1.2544544,1.2544948
485,1.2587227,1.2741318,1.2543709,1.2544129
486,1.25869,1.2741005,1.2543268,1.2543523
487,1.2588735,1.2741914,1.254535,1.2545587
488,1.2590567,1.2743022,1.2547343,1.2547877
489,1.2591537,1.2743266,1.2548466,1.254873
490,1.2595851,1.2745571,1.2553382,1.2553717
491,1.259717,1.2746415,1.2554498,1.2555451
492,1.2598332,1.2746934,1.255579,1.2556714
493,1.2598182,1.2746892,1.2555856,1.2556769
494,1.2588047,1.2740989,1.2545459,1.2545075
495,1.2584311,1.2738885,1.2540891,1.253968
496,1.2590034,1.2742606,1.2546909,1.2547059
497,1.2594261,1.2744626,1.2551343,1.2551593
498,1.2595955,1.2745773,1.2553332,1.2554252
499,1.2594287,1.2744621,1.2551401,1.2551851
500,1.2595042,1.2745297,1.2552321,1.255313
501,1.2596649,1.2745972,1.255416,1.2554618
502,1.259864,1.2747223,1.2556134,1.2557182
503,1.2609004,1.275219,1.2567446,1.2568699
504,1.2613597,1.2754803,1.2572393,1.2574155
505,1.2612354,1.2754014,1.2571305,1.2573017
506,1.2609473,1.2752632,1.2567935,1.2569594
507,1.2607428,1.2751493,1.2566037,1.2567353
508,1.2604996,1.2750452,1.2563039,1.2564522
509,1.2606418,1.2751108,1.2564539,1.2565954
510,1.2608347,1.275225,1.2566695,1.2568424
511,1.2608858,1.275253,1.2567292,1.2569033
512,1.2604412,1.2749884,1.2562935,1.256401
513,1.259796,1.2746507,1.2555728,1.2556345
514,1.2594894,1.2745224,1.2552183,1.2553003
515,1.2593802,1.2744695,1.2550902,1.2551647
516,1.2595481,1.274547,1.2552655,1.2553341
517,1.2597519,1.2746514,1.2554877,1.2555778
518,1.2601486,1.2748351,1.2559187,1.2559931
519,1.2603563,1.2749264,1.2561792,1.2562567
520,1.2602755,1.2749282,1.2560683,1.2561985
521,1.2605684,1.2750615,1.2563897,1.2564889
522,1.2608694,1.2752397,1.256711,1.2568774
523,1.2609499,1.2752546,1.2567927,1.2569377
524,1.2615558,1.2755579,1.2574807,1.2576147
525,1.2613912,1.2754787,1.257308,1.2574838
526,1.2614307,1.275499,1.257328,1.2574785
527,1.2608185,1.2751182,1.2567962,1.2568257
528,1.2568196,1.2728283,1.2526555,1.2521963
529,1.2561692,1.2726097,1.2516654,1.2511647
530,1.2567694,1.2730451,1.2523235,1.2521502
531,1.2571372,1.2731843,1.2526613,1.2523885
532,1.2575475,1.2734427,1.2531507,1.2530234
533,1.2557558,1.272569,1.2511864,1.2509686
534,1.2555329,1.2724361,1.250907,1.2506915
535,1.2560236,1.2726935,1.251453,1.2512362
536,1.2555801,1.2724297,1.2509995,1.2507653
537,1.2555617,1.2724253,1.2509309,1.2506701
538,1.2557508,1.2725444,1.2511425,1.2509499
539,1.2556936,1.2725488,1.2510679,1.2509054
540,1.2560474,1.2727077,1.2514513,1.2512593
541,1.2563461,1.2728856,1.2517945,1.251662
542,1.256539,1.272977,1.2520189,1.2518592
543,1.2563041,1.2728455,1.2517464,1.2516043
544,1.256344,1.2728609,1.2517972,1.2516253
545,1.2564505,1.2729493,1.2519004,1.251785
546,1.2563857,1.2729025,1.2518165,1.2516932
