datetime,open,high,low,close,atr14,rsi14,delta_close_open,theta,dir_class,dir_name,dir_binary,dir_mask
2018-01-04 08:00:00,1.20192,1.2046,1.20172,1.20433,0.0025714285714285895,69.44668915538058,0.002409999999999801,0.00025714285714285894,1,bullish,1.0,1
2018-01-04 12:00:00,1.20433,1.20748,1.20414,1.20621,0.0026842857142857423,72.74152422288316,0.0018800000000001038,0.00026842857142857424,1,bullish,1.0,1
2018-01-04 16:00:00,1.20622,1.20889,1.20602,1.20744,0.0025464285714285845,74.6664063780362,0.0012199999999999989,0.00025464285714285845,1,bullish,1.0,1
2018-01-04 20:00:00,1.20743,1.20802,1.20609,1.20678,0.0025057142857142856,71.73901042610062,-0.0006500000000000394,0.00025057142857142856,-1,bearish,0.0,1
2018-01-05 00:00:00,1.20678,1.20795,1.2064,1.20724,0.0023807142857142916,72.5468894945246,0.000460000000000127,0.00023807142857142918,1,bullish,1.0,1
2018-01-05 04:00:00,1.20723,1.20755,1.2068,1.20715,0.0022678571428571387,72.11254017423872,-8.000000000008001e-05,0.00022678571428571387,0,ranging,,0
2018-01-05 08:00:00,1.20714,1.20744,1.20416,1.20444,0.002347142857142865,60.38830199011477,-0.0027000000000001467,0.0002347142857142865,-1,bearish,0.0,1
2018-01-05 12:00:00,1.20426,1.20828,1.20419,1.2052,0.0025149999999999973,62.242296303216094,0.0009399999999999409,0.0002514999999999997,1,bullish,1.0,1
2018-01-05 16:00:00,1.20522,1.20559,1.20206,1.20471,0.0025578571428571356,60.28323223401425,-0.0005100000000000104,0.00025578571428571355,-1,bearish,0.0,1
2018-01-05 20:00:00,1.20471,1.20508,1.20275,1.20298,0.0025107142857142867,53.84001317828448,-0.0017300000000000093,0.0002510714285714287,-1,bearish,0.0,1
2018-01-08 00:00:00,1.20268,1.20523,1.20258,1.20445,0.0024900000000000083,57.95248224488262,0.0017700000000000493,0.00024900000000000085,1,bullish,1.0,1
2018-01-08 04:00:00,1.20445,1.20466,1.20119,1.20198,0.002530000000000016,49.906830034833035,-0.0024699999999999722,0.00025300000000000165,-1,bearish,0.0,1
2018-01-08 08:00:00,1.20198,1.20227,1.19834,1.19897,0.002723571428571444,42.21529133917036,-0.003009999999999957,0.00027235714285714444,-1,bearish,0.0,1
2018-01-08 12:00:00,1.19898,1.20093,1.19685,1.19699,0.0029057142857143053,38.05996612405979,-0.0019899999999999363,0.00029057142857143056,-1,bearish,0.0,1
2018-01-08 16:00:00,1.197,1.19821,1.1959,1.19774,0.0028650000000000225,40.451025029148674,0.0007399999999999629,0.00028650000000000225,1,bullish,1.0,1
2018-01-08 20:00:00,1.19774,1.19774,1.19556,1.19669,0.002782142857142876,38.226215385513896,-0.0010499999999999954,0.0002782142857142876,-1,bearish,0.0,1
2018-01-09 00:00:00,1.19669,1.19734,1.19578,1.19669,0.002688571428571453,38.22621538551389,0.0,0.0002688571428571453,0,ranging,,0
2018-01-09 04:00:00,1.1967,1.19756,1.19642,1.19651,0.0026321428571428767,37.81273586778367,-0.0001900000000001345,0.0002632142857142877,0,ranging,,0
2018-01-09 08:00:00,1.1965,1.19708,1.1932,1.19387,0.002798571428571428,32.29518245374257,-0.00262999999999991,0.00027985714285714284,-1,bearish,0.0,1
2018-01-09 12:00:00,1.19386,1.19396,1.19155,1.19209,0.0029171428571428564,29.201251170263703,-0.0017699999999998273,0.00029171428571428566,-1,bearish,0.0,1
2018-01-09 16:00:00,1.19209,1.19336,1.19172,1.19212,0.002799999999999993,29.32414495756869,2.999999999997449e-05,0.0002799999999999993,0,ranging,,0
2018-01-09 20:00:00,1.19213,1.19391,1.19166,1.19364,0.002668571428571433,35.438941410126304,0.0015100000000001224,0.0002668571428571433,1,bullish,1.0,1
2018-01-10 00:00:00,1.19364,1.19454,1.19277,1.19452,0.0025428571428571323,38.74330813731457,0.0008799999999999919,0.00025428571428571324,1,bullish,1.0,1
2018-01-10 04:00:00,1.19451,1.19493,1.19271,1.1928,0.0025350000000000017,34.97531823275567,-0.0017099999999998783,0.0002535000000000002,-1,bearish,0.0,1
2018-01-10 08:00:00,1.1928,1.19549,1.19232,1.19387,0.0025721428571428484,38.952891106899436,0.0010699999999999044,0.0002572142857142848,1,bullish,1.0,1
2018-01-10 12:00:00,1.19387,1.20181,1.19316,1.19948,0.0029421428571428454,54.624808871299216,0.005610000000000115,0.0002942142857142846,1,bullish,1.0,1
2018-01-10 16:00:00,1.19949,1.20071,1.19509,1.19601,0.003062857142857129,46.647808921822076,-0.0034799999999999276,0.00030628571428571293,-1,bearish,0.0,1
2018-01-10 20:00:00,1.19601,1.19678,1.19406,1.19474,0.00296571428571427,44.108968024789704,-0.0012700000000001044,0.000296571428571427,-1,bearish,0.0,1
2018-01-11 00:00:00,1.19474,1.19628,1.19463,1.19594,0.0029185714285714054,47.041879840727006,0.0012000000000000899,0.0002918571428571405,1,bullish,1.0,1
2018-01-11 04:00:00,1.19595,1.19701,1.19413,1.19522,0.0029685714285714,45.49912865083446,-0.0007300000000001194,0.00029685714285714,-1,bearish,0.0,1
2018-01-11 08:00:00,1.19522,1.19522,1.19293,1.19478,0.0030207142857142494,44.53785858780692,-0.00043999999999999595,0.000302071428571425,-1,bearish,0.0,1
2018-01-11 12:00:00,1.19477,1.20349,1.19364,1.20313,0.0036428571428571066,61.26345740257087,0.008359999999999923,0.00036428571428571066,1,bullish,1.0,1
2018-01-11 16:00:00,1.20312,1.20588,1.20308,1.20377,0.003565714285714267,62.20427599745397,0.0006500000000000394,0.00035657142857142675,1,bullish,1.0,1
2018-01-11 20:00:00,1.20378,1.20475,1.20276,1.20314,0.003535714285714277,60.642890331476146,-0.0006399999999999739,0.0003535714285714277,-1,bearish,0.0,1
2018-01-12 00:00:00,1.20314,1.20666,1.20308,1.20454,0.0036742857142857094,62.87312476418944,0.0013999999999998458,0.00036742857142857096,1,bullish,1.0,1
